genres,original_title,director,production_companies
"comedy,drama",The Dilemma,Ron Howard,"Imagine Entertainment,Universal Pictures,Spyglass Entertainment,Wild West Picture Show Productions"
"action,adventure,comedy,thriller",Bad Company,Joel Schumacher,"Jerry Bruckheimer Films,Touchstone Pictures,Stillking Films"
"action,adventure,horror",Doom,Andrzej Bartkowiak,"Di Bonaventura Pictures,John Wells Productions,Reaper Productions,Stillking Films,Babelsberg Film,Doom Productions,Distant Planet Productions"
"action,adventure,comedy,thriller",I Spy,Betty Thomas,Columbia Pictures Corporation
"action,fantasy,horror",Underworld: Awakening,M\u00e5ns M\u00e5rlind,"Lakeshore Entertainment,Saturn Films,Screen Gems,Sketch Films,UW4 Productions"
"comedy,drama,music,romance",Rock of Ages,Adam Shankman,"New Line Cinema,Offspring Entertainment,Corner Store Entertainment,Material Pictures"
"drama,war",Hart's War,Gregory Hoblit,"David Foster Productions,Cheyenne Enterprises,Metro-Goldwyn-Mayer (MGM),David Ladd Films"
"action,adventure,thriller",Killer Elite,Gary McKendry,"Current Entertainment,Omnilab Media,Ambience Entertainment,International Traders,Open Road Films,Sighvatsson Films,Palomar Pictures (II),Film Victoria,Wales Creative IP Fund"
"action,science fiction,thriller",Rollerball,John McTiernan,"Atlas Entertainment,Toho-Towa,Mosaic Media Group,Yorktown Productions,Helkon Media AG,Metro-Goldwyn-Mayer (MGM)"
"action,adventure,thriller",Ballistic: Ecks vs. Sever,Wych Kaosayananda,"Epsilon Motion Pictures,Franchise Pictures,Dante Entertainment,Chris Lee Productions,SuperMega,MHF Erste Academy Film GmbH & Co. Produktions KG"
thriller,Hard Rain,Mikael Salomon,"Paramount Pictures,Toho-Towa,Mutual Film Company,PolyGram Filmed Entertainment,Marubeni,Tele München Fernseh Produktionsgesellschaft (TMG),UGC PH,British Broadcasting Corporation (BBC) Television,Stargate Studios"
"action,adventure,animation,comedy,family",Osmosis Jones,Bobby Farrelly,"Conundrum Entertainment,Warner Bros. Animation,Warner Bros."
"animation,family,music",Legends of Oz: Dorothy's Return,Dan St. Pierre,"Prana Animation Studios,Summertime Entertainment"
"crime,drama,mystery",Blackhat,Michael Mann,"Universal Pictures,Forward Pass,Legendary Pictures"
"action,adventure,mystery,science fiction,thriller",Sky Captain and the World of Tomorrow,Kerry Conran,"Paramount Pictures,Natural Nylon Entertainment,Riff Raff Film Productions,Filmauro,Blue Flower Productions,Brooklyn Films II"
"crime,mystery,thriller",Basic Instinct 2,Michael Caton-Jones,"Intermedia Films,Kanzaman,C-2 Pictures,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
"action,thriller",Escape Plan,Mikael H\u00e5fstr\u00f6m,"Summit Entertainment,Atmosphere Entertainment MM,Emmett/Furla Films,Mark Canton Productions,Envision Entertainment,Boies / Schiller Film Group,Knightsbridge Entertainment"
"action,adventure",The Legend of Hercules,Renny Harlin,Millennium Films
"action,drama,thriller",The Sum of All Fears,Phil Alden Robinson,"Paramount Pictures,Mace Neufeld Productions,MFP Munich Film Partners GmbH & Company I. Produktions KG,S.O.A.F. Productions,Mel's Cite du Cinema"
"adventure,drama,fantasy,romance",The Twilight Saga: Eclipse,David Slade,"Summit Entertainment,Maverick Films,Imprint Entertainment,Sunswept Entertainment,Temple Hill Entertainment"
"action,crime,thriller",The Score,Frank Oz,"Paramount Pictures,Mandalay Pictures,Horseshoe Bay Productions"
"animation,family",Despicable Me,Pierre Coffin,"Universal Pictures,Illumination Entertainment"
"action,comedy,crime",Money Train,Joseph Ruben,Columbia Pictures
comedy,Ted 2,Seth MacFarlane,"Universal Pictures,Fuzzy Door Productions,Bluegrass Films,Smart Entertainment,Media Rights Capital (MRC)"
"adventure,drama,history",Agora,Alejandro Amen\u00e1bar,"Himenóptero,Telecinco Cinema,Mod Producciones,Nimar Studios,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Government of Malta"
"action,adventure,comedy,fantasy,science fiction",Mystery Men,Kinka Usher,"Universal Pictures,Dark Horse Entertainment,Golar Productions"
comedy,Hall Pass,Bobby Farrelly,"New Line Cinema,Conundrum Entertainment"
"drama,thriller",The Insider,Michael Mann,"Spyglass Entertainment,Forward Pass,Kaitz Productions,Mann/Roth Productions,Touchstone Pictures"
"action,drama,history,thriller",The Finest Hours,Craig Gillespie,"Walt Disney Pictures,Whitaker Entertainment,Bergsten Music,Red Hawk Entertainment"
"action,drama,thriller",Body of Lies,Ridley Scott,"Scott Free Productions,De Line Pictures,Warner Bros."
comedy,Dinner for Schmucks,Jay Roach,"Paramount Pictures,DreamWorks SKG,Spyglass Entertainment,Everyman Pictures,Reliance BIG Entertainment,Parkes/MacDonald Productions"
"action,fantasy,horror",Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,"Twentieth Century Fox Film Corporation,Bazelevs Production,Tim Burton Productions,Abraham Productions,Location Gourmet"
"drama,mystery,romance",Entrapment,Jon Amiel,"Fountainbridge Films,Regency Enterprises"
"mystery,science fiction,thriller",The X Files,Rob Bowman,"Twentieth Century Fox Film Corporation,Ten Thirteen Productions"
"action,adventure,fantasy,war",The Last Legion,Doug Lefler,"Ingenious Film Partners,Quinta Communications,Dino De Laurentiis Company,Zephyr Films"
"drama,history,war",Saving Private Ryan,Steven Spielberg,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Mutual Film Company,Mark Gordon Productions"
"action,crime,drama,thriller",Need for Speed,Scott Waugh,"DreamWorks SKG,Reliance Entertainment,Bandito Brothers,Touchstone Pictures,Electronic Arts,Revolution Sun Studios"
"comedy,romance",What Women Want,Nancy Meyers,"Paramount Pictures,Centropolis Entertainment,Icon Entertainment International,Wind Dancer Productions"
"adventure,animation,comedy,family",Ice Age,Chris Wedge,"Twentieth Century Fox Film Corporation,Blue Sky Studios,Twentieth Century Fox Animation"
"drama,horror,science fiction,thriller",Dreamcatcher,Lawrence Kasdan,"Village Roadshow Pictures,Castle Rock Entertainment,NPV Entertainment,Kasdan Pictures,WV Films II"
"drama,history",Lincoln,Steven Spielberg,"DreamWorks,Amblin Entertainment,Twentieth Century Fox Film Corporation,Dune Entertainment,The Kennedy/Marshall Company,Participant Media,Reliance Entertainment"
"action,science fiction",The Matrix,Lilly Wachowski,"Village Roadshow Pictures,Groucho II Film Partnership,Silver Pictures,Warner Bros."
drama,Apollo 13,Ron Howard,"Imagine Entertainment,Universal Pictures"
"comedy,family,fantasy",The Santa Clause 2,Michael Lembeck,"Walt Disney Pictures,Outlaw Productions,Boxing Cat Films"
"drama,music,romance",Les Misérables,Tom Hooper,"Universal Pictures,Relativity Media,CAMERON MACKINTOSH,Working Title Films"
"comedy,romance",You've Got Mail,Nora Ephron,Warner Bros.
comedy,Step Brothers,Adam McKay,"Columbia Pictures,Mosaic Media Group,Gary Sanchez Productions,Relativity Media,Apatow Productions"
"action,adventure",The Mask of Zorro,Martin Campbell,"Amblin Entertainment,TriStar Pictures"
"comedy,drama",Due Date,Todd Phillips,"Legendary Pictures,Green Hat Films,Warner Bros."
"drama,war",Unbroken,Angelina Jolie,"Legendary Pictures,3 Arts Entertainment,Jolie Pas"
"action,adventure,thriller",Space Cowboys,Clint Eastwood,"Village Roadshow Pictures,Malpaso Productions,Mad Chance,Warner Bros.,Clipsal Films,Digital Image Associates"
"action,adventure,thriller",Cliffhanger,Renny Harlin,"TriStar Pictures,Canal+,Carolco Pictures,RCS Video,Cliffhanger Productions,Pioneer"
"action,adventure,drama,thriller",Broken Arrow,John Woo,"Twentieth Century Fox Film Corporation,WCG Entertainment Productions,Mark Gordon Productions"
"comedy,family,fantasy",The Kid,Jon Turteltaub,Walt Disney Pictures
"drama,history,thriller",World Trade Center,Oliver Stone,"Paramount Pictures,Double Feature Films,Intermedia Films,Kernos Filmproduktionsgesellschaft & Company"
"drama,romance",Mona Lisa Smile,Mike Newell,"Columbia Pictures,Revolution Studios"
comedy,The Dictator,Larry Charles,Paramount Pictures
"drama,mystery",Eyes Wide Shut,Stanley Kubrick,"Hobby Films,Pole Star,Stanley Kubrick Productions,Warner Bros."
"comedy,drama,family",Annie,Will Gluck,"Columbia Pictures,Olive Bridge Entertainment,Sony Pictures Entertainment (SPE),Overbrook Entertainment,Marcy Media"
"comedy,crime,drama,romance",Focus,Glenn Ficarra,"Kramer & Sigman Films,RatPac-Dune Entertainment,Zaftig Films"
"action,comedy,romance",This Means War,McG,"Dune Entertainment,Overbrook Films,Robert Simonds Productions"
"action,adventure,horror,science fiction,thriller",Blade: Trinity,David S. Goyer,"New Line Cinema,Amen Ra Films,Shawn Danielle Productions Ltd.,Imaginary Forces,Marvel Enterprises,Peter Frankfurt Productions"
"action,thriller",Red Dawn,John Milius,"United Artists,Valkyrie Films"
"comedy,drama",Primary Colors,Mike Nichols,"Universal Pictures,Mutual Film Company"
"action,horror,science fiction",Resident Evil: Retribution,Paul W.S. Anderson,Davis-Films
"action,science fiction,thriller",Death Race,Paul W.S. Anderson,"Universal Pictures,Cruise/Wagner Productions,Impact Pictures,Relativity Media,Scion Films,H2S2 Filmproduktionsgesellschaft"
"action,crime,mystery,thriller",The Long Kiss Goodnight,Renny Harlin,"New Line Cinema,Forge,The Steve Tisch Company"
"action,adventure,drama,romance,thriller",Proof of Life,Taylor Hackford,"Castle Rock Entertainment,Warner Bros."
"adventure,family,fantasy,science fiction",Zathura: A Space Adventure,Jon Favreau,"Columbia Pictures Corporation,Teitler Film,Michael De Luca Productions,Radar Pictures"
drama,Fight Club,David Fincher,"Regency Enterprises,Fox 2000 Pictures,Taurus Film,Linson Films,Atman Entertainment,Knickerbocker Films"
drama,We Are Marshall,McG,"Legendary Pictures,Thunder Road Pictures,Wonderland Sound and Vision,Warner Bros."
"action,adventure,comedy",Hudson Hawk,Michael Lehmann,"TriStar Pictures,Silver Pictures"
"action,adventure,comedy,crime,romance",Lucky Numbers,Nora Ephron,"Paramount Pictures,StudioCanal"
"horror,thriller","I, Frankenstein",Stuart Beattie,"Lakeshore Entertainment,Sidney Kimmel Entertainment,Lionsgate,Hopscotch Films"
"crime,drama,family",Oliver Twist,Roman Polanski,"R.P. Productions,ETIC Films,Runteam III Ltd."
"action,fantasy",Elektra,Rob Bowman,"Twentieth Century Fox Film Corporation,Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures,Marvel Enterprises,Horseshoe Bay Productions,Elektra Productions,SAI Productions"
"crime,thriller",Sin City: A Dame to Kill For,Robert Rodriguez,"Miramax Films,Troublemaker Studios,AR Films,Aldamisa Entertainment,Demarest Films,Solipsist Film,Residaco"
"drama,romance",Random Hearts,Sydney Pollack,Columbia Pictures
"adventure,drama",Everest,Baltasar Korm\u00e1kur,"Universal Pictures,Working Title Films,Walden Media,Cross Creek Pictures,Free State Pictures,RVK Studios"
"crime,drama,fantasy",Perfume: The Story of a Murderer,Tom Tykwer,"Davis-Films,Nouvelles Éditions de Films (NEF),Rising Star,VIP Medienfonds 4,Ikiru Films,Constantin Film Produktion,Castelao Producciones"
"comedy,crime,science fiction",Austin Powers in Goldmember,Jay Roach,"New Line Cinema,Eric's Boy,Team Todd,Moving Pictures,Gratitude International"
"action,animation,family,science fiction",Astro Boy,David Bowers,"The Weinstein Company,Summit Entertainment,Tezuka Production Company Ltd.,Imagi Animation Studios"
"adventure,science fiction",Jurassic Park,Steven Spielberg,"Universal Pictures,Amblin Entertainment"
"action,drama,western",Wyatt Earp,Lawrence Kasdan,"Tig Productions,Warner Bros.,Kasdan Pictures,Paragon Entertainment Corp."
"action,drama,thriller",Clear and Present Danger,Phillip Noyce,"Paramount Pictures,Mace Neufeld Productions"
"action,adventure,drama",天將雄師,Daniel Lee,"Shanghai Film Group,Jackie & JJ Production,Sparkle Roll Media,Huayi Brothers Media,Alibaba Pictures Group,Home Media & Entertainment Fund,Tencent Video,China Film & TV Capital,Visualizer Film Company"
"comedy,crime",Little Man,Keenen Ivory Wayans,"Revolution Studios,Wayans Bros. Entertainment"
"action,drama,thriller,war",U-571,Jonathan Mostow,"Universal Pictures,Canal Plus,Dino De Laurentiis Company"
"comedy,drama,romance",The American President,Rob Reiner,"Columbia Pictures,Castle Rock Entertainment"
"comedy,romance",The Love Guru,Marco Schnabel,"Paramount Pictures,Goldcrest Pictures,Internationale Filmproduktion"
"action,adventure,comedy,crime,thriller",3000 Miles to Graceland,Demian Lichtenstein,"Franchise Pictures,Warner Bros.,Morgan Creek Productions"
"crime,drama,mystery,western",The Hateful Eight,Quentin Tarantino,"Double Feature Films,The Weinstein Company,FilmColony"
"action,comedy,drama",Blades of Glory,Josh Gordon,DreamWorks
"animation,comedy,family",Hop,Tim Hill,"Universal Pictures,Illumination Entertainment"
"action,adventure,war",300,Zack Snyder,"Virtual Studios,Legendary Pictures,Hollywood Gang Productions,Atmosphere Entertainment MM,Warner Bros.,Nimar Studios,Cruel and Unusual Films"
"comedy,romance",Meet the Fockers,Jay Roach,"DreamWorks SKG,Universal Pictures,Everyman Pictures,Tribeca Productions"
"comedy,family",Marley & Me,David Frankel,"Sunswept Entertainment,Dune Entertainment III"
"crime,drama,fantasy",The Green Mile,Frank Darabont,"Castle Rock Entertainment,Darkwoods Productions,Warner Bros."
"action,adventure,comedy",Wild Hogs,Walt Becker,"Wild Hogs Productions,Touchstone Pictures"
"animation,comedy,family",Chicken Little,Mark Dindal,"Walt Disney Pictures,Walt Disney Feature Animation"
"drama,mystery,thriller",Gone Girl,David Fincher,"Twentieth Century Fox Film Corporation,Regency Enterprises,New Regency Pictures,Pacific Standard,TSG Entertainment,Artemple - Hollywood"
"action,drama,mystery,thriller",The Bourne Identity,Doug Liman,"Universal Pictures,Kennedy/Marshall Company, The,Hypnotic,Kalima Productions GmbH & Co. KG,Stillking Films"
"action,adventure,thriller",GoldenEye,Martin Campbell,"United Artists,Eon Productions"
"crime,drama,mystery,thriller",The General's Daughter,Simon West,"Paramount Pictures,MFP Munich Film Partners GmbH & Company I. Produktions KG,Krane Entertainment,Neufeld Rehme Productions"
"comedy,drama",The Truman Show,Peter Weir,"Paramount Pictures,Scott Rudin Productions"
"adventure,animation,drama,family,music",The Prince of Egypt,Simon Wells,"DreamWorks SKG,DreamWorks Animation"
"comedy,family",Daddy Day Care,Steve Carr,"Columbia Pictures,Revolution Studios,Davis Entertainment"
"action,comedy,crime",2 Guns,Baltasar Korm\u00e1kur,"Universal Studios,Marc Platt Productions,Emmett/Furla Films,Envision Entertainment Corporation"
"comedy,family",Cats & Dogs,Lawrence Guterman,"Village Roadshow Pictures,NPV Entertainment,Mad Chance,Zide-Perry Productions,Warner Bros.,BenderSpink"
"action,crime",The Italian Job,F. Gary Gray,"De Line Pictures,Working Title Films"
"comedy,romance",Two Weeks Notice,Marc Lawrence,"Village Roadshow Pictures,Castle Rock Entertainment,NPV Entertainment,Fortis Films"
"adventure,animation,comedy,family",Antz,Eric Darnell,"DreamWorks SKG,Pacific Data Images (PDI),DreamWorks Animation"
"comedy,romance",Couples Retreat,Peter Billingsley,"Universal Pictures,Wild West Picture Show Productions,Stuber Productions,Relativity Media"
adventure,Days of Thunder,Tony Scott,"Paramount Pictures,Don Simpson/Jerry Bruckheimer Films"
comedy,Cheaper by the Dozen 2,Adam Shankman,"Twentieth Century Fox Film Corporation,21 Laps Entertainment,Dozen Canada Productions"
action,Maze Runner: The Scorch Trials,Wes Ball,"Gotham Group,Temple Hill Entertainment,TSG Entertainment"
drama,Eat Pray Love,Ryan Murphy,"Columbia Pictures,Red Om Films,Plan B Entertainment"
"comedy,drama,fantasy,romance",The Family Man,Brett Ratner,Universal Pictures
"action,adventure,comedy,crime,thriller",RED,Robert Schwentke,"DC Comics,Di Bonaventura Pictures,Summit Entertainment,DC Entertainment"
drama,Any Given Sunday,Oliver Stone,"Donners' Company,Ixtlan,Warner Bros."
"drama,romance",The Horse Whisperer,Robert Redford,"Wildwood Enterprises,Touchstone Pictures"
"crime,drama,thriller",Collateral,Michael Mann,"Paramount Pictures,DreamWorks SKG,Parkes/MacDonald Productions,Edge City"
"action,adventure,fantasy",The Scorpion King,Chuck Russell,"Universal Pictures,Kalima Productions GmbH & Co. KG,World Wrestling Entertainment (WWE),Alphaville Films"
"action,drama,thriller",Ladder 49,Jay Russell,"Casey Silver Productions,Beacon Communications,Touchstone Pictures,Beacon Pictures,Fantail Films Inc."
"crime,drama,thriller",Jack Reacher,Christopher McQuarrie,"Paramount Pictures,Mutual Film Company,Skydance Productions,TC Productions"
